name,url
Zoro,https://cdn.myanimelist.net/images/characters/16/94247.jpg
Zoro,https://cdn.myanimelist.net/images/characters/5/94250.jpg
Zoro,https://cdn.myanimelist.net/images/characters/3/100534.jpg
Zoro,https://cdn.myanimelist.net/images/characters/2/146185.jpg
Zoro,https://cdn.myanimelist.net/images/characters/8/241543.jpg
Zoro,https://cdn.myanimelist.net/images/characters/12/259387.jpg
Zoro,https://cdn.myanimelist.net/images/characters/10/267179.jpg
Zoro,https://cdn.myanimelist.net/images/characters/5/275655.jpg
Zoro,https://cdn.myanimelist.net/images/characters/8/343380.jpg
Zoro,https://cdn.myanimelist.net/images/characters/5/343382.jpg
Zoro,https://cdn.myanimelist.net/images/characters/15/365924.jpg
Zoro,https://cdn.myanimelist.net/images/characters/12/391978.jpg
Zoro,https://cdn.myanimelist.net/images/characters/16/94247.jpg
Zoro,https://cdn.myanimelist.net/images/characters/5/94250.jpg
Zoro,https://cdn.myanimelist.net/images/characters/3/100534.jpg
Zoro,https://cdn.myanimelist.net/images/characters/2/146185.jpg
Zoro,https://cdn.myanimelist.net/images/characters/8/241543.jpg
Zoro,https://cdn.myanimelist.net/images/characters/12/259387.jpg
Zoro,https://cdn.myanimelist.net/images/characters/10/267179.jpg
Zoro,https://cdn.myanimelist.net/images/characters/5/275655.jpg
Zoro,https://cdn.myanimelist.net/images/characters/8/343380.jpg
Zoro,https://cdn.myanimelist.net/images/characters/5/343382.jpg
Zoro,https://cdn.myanimelist.net/images/characters/15/365924.jpg
Zoro,https://cdn.myanimelist.net/images/characters/12/391978.jpg
